,CaseID,AppUnit,案件名稱,DigSite,DigArea,CaseStart,CaseEnd,StrAllowTime,ConstructionUnit,Construction_Man,Construction_Tel,Supervise,Supervise_Man,Supervise_Tel,ExamUnit,ExamDate,Remark,TWD97X,TWD97Y,LAT,LONG,geometry
0,291548,新北莊工字第1112334404號,新北市新莊地區污水下水道系統第二期工程第十二標支管工程,新莊區合鳳里村里天祥街,潛盾工程：柏油，長324公尺，寬324公尺，深5公尺，面積104976平方公尺；總面積：104976平方公尺,111/8/9,113/7/31,連續性施工，111年08月09日09時起113年07月31日22時止，共723日。,昇馳工程有限公司,洪士鈞,952677335,新北市政府水利局污水下水道工程科,葉佐元,910921831,新莊區公所,2022/8/18,,291872.2259,2768782.98,25.0266,121.4149,
1,259530,新北工養字第1104805597號,新北市新店地區污水下水道系統(第二期)新建工程第三標分支管網,新店區德安里村里安康路二段362-1號,孔蓋工程：柏油，長205公尺，寬3公尺，深12公尺，面積615平方公尺；潛盾工程：柏油，長867.4公尺，寬0.4公尺，深12公尺，面積347平方公尺；潛盾工程：柏油，長1123.3公尺，寬0.6公尺，深12公尺，面積674平方公尺；潛盾工程：柏油，長772.9公尺，寬0.7公尺，深12公尺，面積541平方公尺；潛盾工程：柏油，長775.7公尺，寬0.5公尺，深12公尺，面積387.8平方公尺；總面積：2564.8平方公尺,110/3/23,113/4/30,時段性施工，110年03月23日起113年04月30日止，共1135日。日間09時至16時,東鑫龍營造有限公司,郭崇記,225283407,內政部營建署下水道工程處北區分處第一工務所,許益晨,937001675,新北市政府工務局,2021/3/19,,299179.0052,2760393.017,24.9506,121.487,
2,235537,新北工養字第1094909349號,新北市樹林地區污水下水道系統第一期工程第七-2、八、九、十、十二標,樹林區山佳里村里中山路三段269號,潛盾工程：柏油，長260公尺，寬3公尺，深6公尺，面積780平方公尺；孔蓋工程：柏油，長18公尺，寬3公尺，深6公尺，面積54平方公尺；總面積：834平方公尺,109/11/18,112/9/30,時段性施工，109年11月18日起110年10月25日止，共342日。日間09時至16時；第1次變更：時段性施工，110年10月27日起111年09月19日止，共328日。(日間09時至17時)(展延)；第2次變更：時段性施工，111年09月20日起112年09月30日止，共376日。(日間09時至16時)(展延),加興營造工程股份有限公司,蕭秀蓉,02-2670-8115,新北市政府水利局污水下水道工程科,賴瑋杰,963070079,新北市政府工務局,2020/11/12,,289510.4736,2762709.685,24.9718,121.3913,
3,235682,1082495207,新北市樹林地區污水下水道系統第一期工程第七-2、八、九、十、十二標,樹林區山佳里村里中佳路1號,申挖工程：柏油，長200公尺，寬3公尺，深7公尺，面積600平方公尺；潛盾工程：其它，長2700公尺，寬3公尺，深7公尺，面積8100平方公尺；總面積：8700平方公尺,108/12/2,112/9/19,時段性施工，108年12月02日起109年12月31日止，共396日。日間09時至16時；第1次變更：時段性施工，110年01月01日起110年12月31日止，共365日。(日間09時至16時)(展延)；第2次變更：時段性施工，111年01月03日起111年09月19日止，共260日。(日間09時至16時)(展延)；第3次變更：時段性施工，111年09月20日起112年09月19日止，共365日。(自訂日間09時至16時)(展延),加興營造工程股份有限公司,蕭秀蓉,02-2670-8115,新北市政府水利局污水下水道工程科,賴瑋杰,963070079,樹林區公所,2019/11/21,,289853.0643,2762553.42,24.9704,121.3947,
4,235784,1082495206,新北市樹林地區污水下水道系統第一期工程第七-2、八、九、十、十二標,樹林區東昇里村里文化街90號,申挖工程：柏油，長30公尺，寬3公尺，深8公尺，面積90平方公尺；潛盾工程：柏油，長350公尺，寬3公尺，深8公尺，面積1050平方公尺；總面積：1140平方公尺,108/12/2,112/9/19,時段性施工，108年12月02日起109年12月31日止，共396日。日間09時至16時；第1次變更：時段性施工，110年01月01日起110年12月31日止，共365日。(日間09時至16時)(展延)；第2次變更：時段性施工，111年01月03日起111年09月19日止，共260日。(日間09時至16時)(展延)；第3次變更：時段性施工，111年09月20日起112年09月19日止，共365日。(日間09時至16時)(展延),加興營造工程股份有限公司,蕭秀蓉,02-2670-8115,新北市政府水利局污水下水道工程科,賴瑋杰,963070079,樹林區公所,2019/11/21,,291717.5833,2764157.256,24.9848,121.4132,
5,235949,1082495204,新北市樹林地區污水下水道系統第一期工程第七-2、八、九、十、十二標,樹林區東陽里村里東陽街1號,申挖工程：柏油，長150公尺，寬3公尺，深7公尺，面積450平方公尺；潛盾工程：其它，長2000公尺，寬3公尺，深7公尺，面積6000平方公尺；總面積：6450平方公尺,108/11/18,112/9/19,時段性施工，108年11月18日起109年12月31日止，共410日。日間09時至16時；第1次變更：時段性施工，110年01月01日起110年12月31日止，共365日。(日間09時至16時)(展延)；第2次變更：時段性施工，111年01月03日起111年09月19日止，共260日。(日間09時至16時)(展延)；第3次變更：時段性施工，111年09月20日起112年09月19日止，共365日。(自訂日間09時至16時)(展延),加興營造工程股份有限公司,蕭秀蓉,02-2670-8115,新北市政府水利局污水下水道工程科,賴瑋杰,963070079,樹林區公所,2019/11/14,,292012.3971,2763885.065,24.9823,121.4161,
6,236090,1082495208,新北市樹林地區污水下水道系統第一期工程第七-2、八、九、十、十二標,樹林區彭厝里村里福順街15號,申挖工程：柏油，長300公尺，寬3公尺，深7公尺，面積900平方公尺；潛盾工程：其它，長4200公尺，寬3公尺，深7公尺，面積12600平方公尺；總面積：13500平方公尺,108/11/18,112/9/19,時段性施工，108年11月18日起109年12月31日止，共410日。日間09時至16時；第1次變更：時段性施工，110年01月01日起110年12月31日止，共365日。(日間09時至16時)(展延)；第2次變更：時段性施工，111年01月03日起111年09月19日止，共260日。(日間09時至16時)(展延)；第3次變更：時段性施工，111年09月20日起112年09月19日止，共365日。(自訂日間09時至16時)(展延),加興營造工程股份有限公司,蕭秀蓉,02-2670-8115,新北市政府水利局污水下水道工程科,賴瑋杰,963070079,樹林區公所,2019/11/13,,292331.6322,2763470.581,24.9786,121.4193,
7,236231,1082495205,新北市樹林地區污水下水道系統第一期工程第七-2、八、九、十、十二標,樹林區彭福里村里水源街73號,孔蓋工程：柏油，長135公尺，寬3公尺，深8公尺，面積405平方公尺；潛盾工程：柏油，長1800公尺，寬3公尺，深8公尺，面積5400平方公尺；總面積：5805平方公尺,108/11/18,112/9/19,時段性施工，108年11月18日起109年12月31日止，共410日。日間09時至16時；第1次變更：時段性施工，110年01月01日起110年12月31日止，共365日。(日間09時至16時)(展延)；第2次變更：時段性施工，111年01月03日起111年09月19日止，共260日。(日間09時至16時)(展延)；第3次變更：時段性施工，111年09月20日起112年09月19日止，共365日。(自訂日間09時至16時)(展延),加興營造工程股份有限公司,蕭秀蓉,02-2670-8115,新北市政府水利局污水下水道工程科,賴瑋杰,963070079,樹林區公所,2019/11/14,,292758.578,2763815.313,24.9817,121.4235,
8,291600,新北工養字第1114869347號,新北市新莊地區污水下水道系統第二期工程第十二標支管工程,新莊區雙鳳里村里中正路895號,申挖工程：柏油，長3公尺，寬3公尺，深4.7公尺，面積9平方公尺；申挖工程：柏油，長3公尺，寬3公尺，深4.4公尺，面積9平方公尺；申挖工程：柏油，長3公尺，寬3公尺，深5.3公尺，面積9平方公尺；申挖工程：柏油，長3公尺，寬3公尺，深4.4公尺，面積9平方公尺；申挖工程：柏油，長3公尺，寬3公尺，深4.2公尺，面積9平方公尺；申挖工程：柏油，長3公尺，寬3公尺，深4.5公尺，面積9平方公尺；申挖工程：柏油，長3公尺，寬3公尺，深4.2公尺，面積9平方公尺；申挖工程：柏油，長3公尺，寬3公尺，深4.2公尺，面積9平方公尺；申挖工程：柏油，長3公尺，寬3公尺，深3.6公尺，面積9平方公尺；申挖工程：柏油，長3公尺，寬3公尺，深4.1公尺，面積9平方公尺；申挖工程：柏油，長3公尺，寬3公尺，深3.9公尺，面積9平方公尺；申挖工程：柏油，長3公尺，寬3公尺，深3.4公尺，面積9平方公尺；申挖工程：柏油，長3公尺，寬3公尺，深4.9公尺，面積9平方公尺；申挖工程：柏油，長3公尺，寬3公尺，深4.3公尺，面積9平方公尺；潛盾工程：柏油，長613公尺，寬1公尺，深6公尺，面積613平方公尺；總面積：739平方公尺,111/10/6,112/5/23,時段性施工，111年10月06日起112年05月23日止，共230日。自訂日間09時至16時,昇馳工程有限公司,洪士鈞,952677335,新北市政府水利局污水下水道工程科,葉佐元,910921831,新北市政府工務局,2022/10/6,,291660.2541,2768704.202,25.0258,121.4128,
9,237144,1082651562,新北市汐止地區污水下水道系統第二期工程第六標(修正版),汐止區金龍里村里康寧街,申挖工程：柏油，長3317公尺，寬0.6公尺，深1.5公尺，面積1990.2平方公尺；總面積：1990.2平方公尺,108/10/22,112/4/27,時段性施工，108年10月22日起109年04月22日止，共184日。日間09時至17時；第1次變更：時段性施工，109年04月22日起109年10月22日止，共184日。(日間09時至17時)(展延)；第2次變更：時段性施工，109年10月23日起110年04月23日止，共183日。(日間09時至17時)(展延)；第3次變更：時段性施工，110年04月24日起110年10月24日止，共184日。(日間09時至17時)(展延)；第4次變更：時段性施工，110年10月25日起111年04月25日止，共183日。(日間09時至17時)(展延)；第5次變更：時段性施工，111年04月26日起111年10月26日止，共184日。(自訂日間09時至17時)(展延)；第6次變更：時段性施工，111年10月27日起112年04月27日止，共183日。(日間09時至16時)(展延),神緯營造有限公司,郭志緯,921550645,新北市政府水利局污水下水道工程科,陳美婉,958325363,汐止區公所,2019/10/16,,313908.178,2773815.436,25.0712,121.6335,
