dis,sta,add,das,state,cha,fee,way,ope,sty,no,Latitude,Longitude
三峽區,巴黎花都社區,新北市三峽區學成路265號,社區大樓,良好,是,10元/次,1次10元,否,充電箱,2座4充,24.9432405,121.3757222
蘆洲區,知森堂社區,新北市蘆洲區光榮路120巷8弄33號,社區大樓,良好,是,10元/次,1次10元,否,無,1座1充,25.0879715,121.4648269
新莊區,都市特區,新北市新莊區中平路270號7弄12號8樓,社區大樓,良好,是,10元/次,,否,充電箱,5座1=5充,25.0503735,121.4449472
新莊區,歐洲之星社區,新北市新莊區中原路193-203號,社區大樓,良好,是,10元/次,一小時,否,充電箱,2座2充,25.0542109,121.4515887
新莊區,峰景鳳翔社區管理委員會,新北市新莊區中正路706號1樓,社區大樓,良好,是,10元/次,1次,否,充電箱,1座４充,25.0177047,121.4093183
樹林區,愛在歐洲社區,新北市樹林區大成路20-1號,社區大樓,良好,是,20元/次,5小時,否,充電箱,5座5充,24.9454212,121.3826064
中和區,泰和園,新北市中和區泰和街1號,社區大樓,良好,是,10元/次,1次10元,否,充電箱,1座1充,25.0000638,121.4991488
樹林區,遠雄紫京城社區,新北市樹林區學勤路500號,社區大樓,良好,是,10元/次,1次10元,否,無,2座2充,24.9483331,121.3819946
五股區,五股區公所,新北市五股區中興路四段50號,公務機關-區公所,良好,否,不收費,無,是,充電箱,2,25.0830835,121.4380729
石門區,石門區公所,新北市石門區中山路66號(石門區公所),公務機關-區公所,良好,否,不收費,無,是,充電座,6,25.291248,121.567631
貢寮區,貢寮區公所,新北市貢寮區朝陽街54號,公務機關-區公所,良好,否,不收費,無,是,插頭式,2,25.0218129,121.9102931
新莊區,新莊區公所,新北市新莊區中正路176號,公務機關-區公所,良好,否,不收費,無,否,充電箱,4,25.0358322,121.4503811
萬里區,萬里區公所,新北市萬里區瑪鋉路123號,公務機關-區公所,良好,否,不收費,無,是,充電箱,2,25.1781389,121.6896032
中和區,中和區公所,新北市中和區景平路634之2號,公務機關-區公所,良好,否,不收費,無,是,充電箱,2,24.9981325,121.5002345
