sta,dis,add,das,cha,sty,no,Latitude,Longitude
十三行博物館,八里區,新北市八里區博物館路200號,公務機關-其他,不收費,80A,2,25.1570822,121.4047677
八里第一立體停車場,八里區,新北市八里區舊城路12號,公有停車場,不收費,80A,2,25.1470863,121.400056
八里永續教育中心,八里區,新北市八里區觀海大道36號,公務機關-其他,不收費,80A,2,25.1606815,121.4302723
三芝中正立體停車場,三芝區,新北市三芝區中山路二段48-1號,公有停車場,不收費,80A,2,25.2549597,121.5031063
三芝遊客中心,三芝區,新北市三芝區埔頭坑164之2號,公務機關-其他,不收費,80A,2,25.246394,121.514604
新北正義國小停車場,三重區,新北市三重區信義西街31號,公有停車場,不收費,80A,2,25.0645459,121.4961138
三重中山立體停車場,三重區,新北市三重區新北大道一段7號,公有停車場,不收費,80A,4,25.0610971,121.4896149
三重三張地下停車場,三重區,新北市三重區大智路188號,公有停車場,不收費,80A,2,25.0614534,121.4867114
三重溪美立體停車場,三重區,新北市三重區自強路四段55號,公有停車場,不收費,80A,2,25.078643,121.490633
三重玫瑰平面停車場,三重區,新北市三重區集美街57號,公有停車場,不收費,80A,2,25.0543937,121.4883227
二重國中地下停車場,三重區,新北市三重區忠孝路三段89號B2,公有停車場,不收費,80A,4,25.0656964,121.4803284
三重厚德國小停車場,三重區,新北市三重區忠孝路一段70號,公有停車場,不收費,32A,2,25.0719793,121.4890326
三重碧華國小停車場,三重區,新北市三重區五華街160號,公有停車場,不收費,32A,2,25.0844282,121.4906712
三重五常停車場,三重區,新北市三重區五華街7巷30號B1,公有停車場,不收費,32A,2,25.080786,121.496016
聯邦公園地下停車場,三重區,新北市三重區中華路125號B1,公有停車場,不收費,32A,2,25.0639327,121.4837771
永福國小地下停車場,三重區,新北市三重區永福街66號B1,公有停車場,不收費,32A,2,25.0770435,121.4806326
正義地下停車場,三重區,新北市三重區雙園街1號B1,公有停車場,不收費,32A,2,25.0683296,121.4975202
龍門公園地下停車場,三重區,新北市三重區公園街32號 平面,公有停車場,不收費,32A,2,25.0742889,121.4987545
文中小平面停車場,三重區,新北市三重區新北大道一段159號 (對面停車場),公有停車場,不收費,32A,2,25.0611256,121.481766
光興國小停車場,三重區,新北市三重區正義南路62號,公有停車場,不收費,32A,2,25.0594536,121.4993049
三峽碳中和樂園停車場,三峽區,新北市三峽區中正路三段262號,公有停車場,不收費,80A,2,24.8981171,121.3376371
三峽國小停車場,三峽區,新北市三峽區中山路16號,公有停車場,不收費,32A,2,24.9345806,121.3700769
台北大學地下停車場,三峽區,新北市三峽區大學路151號,公有停車場,不收費,32A,2,24.9456343,121.3717495
土城延吉停車場,土城區,新北市土城區德峰街65號,公有停車場,不收費,80A,2,24.9859282,121.4678118
土城中州停車場,土城區,新北市土城區中州路11號,公有停車場,不收費,32A,2,24.9574879,121.4141103
土城裕生立體停車場,土城區,新北市土城區裕生路106號,公有停車場,不收費,80A,2,24.98447,121.4468407
土城金城立體停車場,土城區,新北市土城區金城路二段266號,公有停車場,不收費,80A/32A,4,24.9838094,121.4585622
土城永豐停車場,土城區,新北市土城區立德路113號,公有停車場,不收費,32A,2,24.986957,121.464622
土城明德停車場,土城區,新北市土城區延吉街與永豐路交界處,公有停車場,不收費,32A,2,24.9843745,121.4658536
捷運南勢角站,中和區,新北市中和區和平街68號對面,捷運站,不收費,80A,2,24.9910183,121.5082067
中和環球購物中心,中和區,"新北市中和區中山路三段122號B3,5F",賣場,不收費,80A,4,25.0066724,121.4747789
新北中和國小停車場,中和區,新北市中和區景平路632-8號B1,公有停車場,不收費,80A,4,24.9985714,121.4999099
中和民享公園停車場,中和區,新北市中和區自治街67號B1,公有停車場,不收費,80A,2,25.003549,121.4756204
中和民享市場停車場,中和區,新北市中和區民享街37號B1,公有停車場,不收費,80A,2,25.00354,121.474151
中和民德立體停車場,中和區,新北市中和區民德路188號,公有停車場,不收費,80A,2,24.9992259,121.4683256
中和復興大樓停車場,中和區,新北市中和區南山路236號B1,公有停車場,不收費,80A,2,24.9896174,121.5066106
中和地政事務所,中和區,新北市中和區復興路278號,公務機關-地政,不收費,32A,2,24.9904709,121.5024702
中和圓通停車場,中和區,新北市中和區圓通路369巷33號,公有停車場,不收費,80A,2,24.9881652,121.4880486
中和秀山停車場,中和區,新北市中和區自立路15巷12號B1,公有停車場,不收費,32A,2,24.9956911,121.5235949
民樂立體停車場,中和區,新北市中和區民樂路65號B1,公有停車場,不收費,32A,2,25.001359,121.4837253
好市多 中和店,中和區,新北市中和區中山路二段347號,賣場,不收費,40A,4,25.0016486,121.4925529
中和環球購物中心_Tesla,中和區,新北市中和區中山路三段122號,賣場,不收費,40A,1,25.0066724,121.4747789
五股綜合立體停車場,五股區,新北市五股區工商路3號,公有停車場,不收費,80A,4,25.0831794,121.4391675
十分旅遊中心停車場,平溪區,新北市平溪區南山里南山坪路136號,公有停車場,不收費,80A,4,25.036638,121.773742
永和秀朗樂活停車場,永和區,新北市永和區民權路1號B1,公有停車場,不收費,80A,4,24.9988332,121.5203326
永和國小停車場,永和區,新北市永和區中正路299號B1,公有停車場,不收費,80A,4,25.00182,121.517269
永和福和國中停車場,永和區,新北市永和區永亨路96號,公有停車場,不收費,80A,2,25.0046778,121.5228465
